instant,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,hr_bin,temp_bin,hum_bin,windspeed_bin,cnt_bin
23,2011-01-01,Spring,0,Jan,22,0,Sat,0,Mist,16.400000000000002,20.455000000000002,94.0,15.001299999999999,11,17,28,Sore/Malam,Sedang,Tinggi,Kencang,Sedang
24,2011-01-01,Spring,0,Jan,23,0,Sat,0,Mist,18.86,22.725,88.0,19.999499999999998,15,24,39,Sore/Malam,Sedang,Tinggi,Kencang,Tinggi
25,2011-01-02,Spring,0,Jan,0,0,Sun,0,Mist,18.86,22.725,88.0,19.999499999999998,4,13,17,Malam,Sedang,Tinggi,Kencang,Sedang
26,2011-01-02,Spring,0,Jan,1,0,Sun,0,Mist,18.04,21.97,94.0,16.997899999999998,1,16,17,Malam,Sedang,Tinggi,Kencang,Sedang
27,2011-01-02,Spring,0,Jan,2,0,Sun,0,Mist,17.22,21.21,100.0,19.0012,1,8,9,Malam,Sedang,Tinggi,Kencang,Rendah
28,2011-01-02,Spring,0,Jan,3,0,Sun,0,Mist,18.86,22.725,94.0,12.998000000000001,2,4,6,Malam,Sedang,Tinggi,Sedang,Rendah
29,2011-01-02,Spring,0,Jan,4,0,Sun,0,Mist,18.86,22.725,94.0,12.998000000000001,2,1,3,Malam,Sedang,Tinggi,Sedang,Rendah
30,2011-01-02,Spring,0,Jan,6,0,Sun,0,Light Rain/Snow,17.22,21.21,77.0,19.999499999999998,0,2,2,Pagi,Sedang,Tinggi,Kencang,Rendah
31,2011-01-02,Spring,0,Jan,7,0,Sun,0,Mist,16.400000000000002,20.455000000000002,76.0,12.998000000000001,0,1,1,Pagi,Sedang,Tinggi,Sedang,Rendah
32,2011-01-02,Spring,0,Jan,8,0,Sun,0,Light Rain/Snow,16.400000000000002,20.455000000000002,71.0,15.001299999999999,0,8,8,Pagi,Sedang,Sedang,Kencang,Rendah
33,2011-01-02,Spring,0,Jan,9,0,Sun,0,Mist,15.58,19.695,76.0,15.001299999999999,1,19,20,Pagi,Sedang,Tinggi,Kencang,Sedang
34,2011-01-02,Spring,0,Jan,10,0,Sun,0,Mist,14.76,17.424999999999997,81.0,15.001299999999999,7,46,53,Pagi,Sedang,Tinggi,Kencang,Tinggi
35,2011-01-02,Spring,0,Jan,11,0,Sun,0,Mist,14.76,16.665,71.0,16.997899999999998,16,54,70,Pagi,Sedang,Sedang,Kencang,Tinggi
36,2011-01-02,Spring,0,Jan,12,0,Sun,0,Mist,14.76,16.665,66.0,19.999499999999998,20,73,93,Siang,Sedang,Sedang,Kencang,Tinggi
37,2011-01-02,Spring,0,Jan,13,0,Sun,0,Mist,14.76,17.424999999999997,66.0,8.9981,11,64,75,Siang,Sedang,Sedang,Sedang,Tinggi
38,2011-01-02,Spring,0,Jan,14,0,Sun,0,Light Rain/Snow,14.76,17.424999999999997,76.0,12.998000000000001,4,55,59,Siang,Sedang,Tinggi,Sedang,Tinggi
39,2011-01-02,Spring,0,Jan,15,0,Sun,0,Light Rain/Snow,13.940000000000001,16.665,81.0,11.0014,19,55,74,Siang,Sedang,Tinggi,Sedang,Tinggi
40,2011-01-02,Spring,0,Jan,16,0,Sun,0,Light Rain/Snow,13.940000000000001,16.665,71.0,11.0014,9,67,76,Siang,Sedang,Sedang,Sedang,Tinggi
41,2011-01-02,Spring,0,Jan,17,0,Sun,0,Clear,13.940000000000001,16.665,56.99999999999999,12.998000000000001,7,58,65,Siang,Sedang,Sedang,Sedang,Tinggi
42,2011-01-02,Spring,0,Jan,18,0,Sun,0,Mist,14.76,16.665,46.0,22.0028,10,43,53,Sore/Malam,Sedang,Rendah,Kencang,Tinggi
43,2011-01-02,Spring,0,Jan,19,0,Sun,0,Clear,13.120000000000001,14.395,42.0,30.002599999999997,1,29,30,Sore/Malam,Sedang,Rendah,Kencang,Sedang
44,2011-01-02,Spring,0,Jan,20,0,Sun,0,Clear,12.299999999999999,13.635,39.0,23.9994,5,17,22,Sore/Malam,Sedang,Rendah,Kencang,Sedang
45,2011-01-02,Spring,0,Jan,21,0,Sun,0,Clear,10.66,11.365,44.0,22.0028,11,20,31,Sore/Malam,Sedang,Rendah,Kencang,Tinggi
46,2011-01-02,Spring,0,Jan,22,0,Sun,0,Clear,9.84,10.605,44.0,19.999499999999998,0,9,9,Sore/Malam,Dingin,Rendah,Kencang,Rendah
47,2011-01-02,Spring,0,Jan,23,0,Sun,0,Clear,9.02,11.365,47.0,11.0014,0,8,8,Sore/Malam,Dingin,Rendah,Sedang,Rendah
48,2011-01-03,Spring,0,Jan,0,0,Mon,1,Clear,9.02,9.85,44.0,23.9994,0,5,5,Malam,Dingin,Rendah,Kencang,Rendah
49,2011-01-03,Spring,0,Jan,1,0,Mon,1,Clear,8.200000000000001,8.334999999999999,44.0,27.999299999999998,0,2,2,Malam,Dingin,Rendah,Kencang,Rendah
50,2011-01-03,Spring,0,Jan,4,0,Mon,1,Clear,6.5600000000000005,6.819999999999999,47.0,26.0027,0,1,1,Malam,Dingin,Rendah,Kencang,Rendah
51,2011-01-03,Spring,0,Jan,5,0,Mon,1,Clear,6.5600000000000005,6.819999999999999,47.0,19.0012,0,3,3,Malam,Dingin,Rendah,Kencang,Rendah
52,2011-01-03,Spring,0,Jan,6,0,Mon,1,Clear,5.74,5.305,50.0,26.0027,0,30,30,Pagi,Dingin,Rendah,Kencang,Sedang
53,2011-01-03,Spring,0,Jan,7,0,Mon,1,Clear,5.74,6.819999999999999,50.0,12.998000000000001,1,63,64,Pagi,Dingin,Rendah,Sedang,Tinggi
54,2011-01-03,Spring,0,Jan,8,0,Mon,1,Clear,5.74,6.0600000000000005,50.0,19.0012,1,153,154,Pagi,Dingin,Rendah,Kencang,Tinggi
55,2011-01-03,Spring,0,Jan,9,0,Mon,1,Clear,6.5600000000000005,6.819999999999999,43.0,26.0027,7,81,88,Pagi,Dingin,Rendah,Kencang,Tinggi
56,2011-01-03,Spring,0,Jan,10,0,Mon,1,Clear,7.38,8.334999999999999,43.0,16.997899999999998,11,33,44,Pagi,Dingin,Rendah,Kencang,Tinggi
57,2011-01-03,Spring,0,Jan,11,0,Mon,1,Clear,8.200000000000001,9.09,40.0,22.0028,10,41,51,Pagi,Dingin,Rendah,Kencang,Tinggi
58,2011-01-03,Spring,0,Jan,12,0,Mon,1,Clear,9.02,10.605,35.0,19.999499999999998,13,48,61,Siang,Dingin,Rendah,Kencang,Tinggi
59,2011-01-03,Spring,0,Jan,13,0,Mon,1,Clear,9.84,10.605,35.0,19.0012,8,53,61,Siang,Dingin,Rendah,Kencang,Tinggi
60,2011-01-03,Spring,0,Jan,14,0,Mon,1,Clear,10.66,12.120000000000001,30.0,19.0012,11,66,77,Siang,Sedang,Rendah,Kencang,Tinggi
61,2011-01-03,Spring,0,Jan,15,0,Mon,1,Clear,10.66,12.120000000000001,30.0,16.997899999999998,14,58,72,Siang,Sedang,Rendah,Kencang,Tinggi
62,2011-01-03,Spring,0,Jan,16,0,Mon,1,Clear,10.66,12.120000000000001,30.0,16.997899999999998,9,67,76,Siang,Sedang,Rendah,Kencang,Tinggi
63,2011-01-03,Spring,0,Jan,17,0,Mon,1,Clear,9.84,11.365,30.0,15.001299999999999,11,146,157,Siang,Dingin,Rendah,Kencang,Tinggi
64,2011-01-03,Spring,0,Jan,18,0,Mon,1,Clear,9.84,12.879999999999999,32.0,7.0015,9,148,157,Sore/Malam,Dingin,Rendah,Sedang,Tinggi
65,2011-01-03,Spring,0,Jan,19,0,Mon,1,Clear,8.200000000000001,12.879999999999999,47.0,0.0,8,102,110,Sore/Malam,Dingin,Rendah,Tenang,Tinggi
66,2011-01-03,Spring,0,Jan,20,0,Mon,1,Clear,8.200000000000001,11.365,47.0,7.0015,3,49,52,Sore/Malam,Dingin,Rendah,Sedang,Tinggi
67,2011-01-03,Spring,0,Jan,21,0,Mon,1,Clear,7.38,9.85,64.0,8.9981,3,49,52,Sore/Malam,Dingin,Sedang,Sedang,Tinggi
68,2011-01-03,Spring,0,Jan,22,0,Mon,1,Clear,5.74,7.575,69.0,8.9981,0,20,20,Sore/Malam,Dingin,Sedang,Sedang,Sedang
69,2011-01-03,Spring,0,Jan,23,0,Mon,1,Clear,7.38,10.605,55.00000000000001,7.0015,1,11,12,Sore/Malam,Dingin,Sedang,Sedang,Sedang
70,2011-01-04,Spring,0,Jan,0,0,Tue,1,Clear,6.5600000000000005,9.09,55.00000000000001,7.0015,0,5,5,Malam,Dingin,Sedang,Sedang,Rendah
71,2011-01-04,Spring,0,Jan,1,0,Tue,1,Clear,6.5600000000000005,9.09,59.0,7.0015,0,2,2,Malam,Dingin,Sedang,Sedang,Rendah
72,2011-01-04,Spring,0,Jan,2,0,Tue,1,Clear,5.74,7.575,63.0,8.9981,0,1,1,Malam,Dingin,Sedang,Sedang,Rendah
73,2011-01-04,Spring,0,Jan,4,0,Tue,1,Clear,5.74,9.09,63.0,6.0032,0,2,2,Malam,Dingin,Sedang,Sedang,Rendah
74,2011-01-04,Spring,0,Jan,5,0,Tue,1,Clear,4.92,7.575,68.0,7.0015,0,4,4,Malam,Dingin,Sedang,Sedang,Rendah
75,2011-01-04,Spring,0,Jan,6,0,Tue,1,Clear,4.92,7.575,74.0,7.0015,0,36,36,Pagi,Dingin,Sedang,Sedang,Tinggi
76,2011-01-04,Spring,0,Jan,7,0,Tue,1,Clear,4.92,7.575,74.0,8.9981,2,92,94,Pagi,Dingin,Sedang,Sedang,Tinggi
77,2011-01-04,Spring,0,Jan,8,0,Tue,1,Clear,5.74,7.575,69.0,11.0014,2,177,179,Pagi,Dingin,Sedang,Sedang,Tinggi
78,2011-01-04,Spring,0,Jan,9,0,Tue,1,Clear,6.5600000000000005,7.575,64.0,15.001299999999999,2,98,100,Pagi,Dingin,Sedang,Kencang,Tinggi
79,2011-01-04,Spring,0,Jan,10,0,Tue,1,Mist,6.5600000000000005,6.819999999999999,69.0,22.0028,5,37,42,Pagi,Dingin,Sedang,Kencang,Tinggi
80,2011-01-04,Spring,0,Jan,11,0,Tue,1,Clear,9.02,10.605,51.0,19.999499999999998,7,50,57,Pagi,Dingin,Sedang,Kencang,Tinggi
81,2011-01-04,Spring,0,Jan,12,0,Tue,1,Clear,9.02,11.365,51.0,11.0014,12,66,78,Siang,Dingin,Sedang,Sedang,Tinggi
82,2011-01-04,Spring,0,Jan,13,0,Tue,1,Clear,9.84,11.365,56.00000000000001,12.998000000000001,18,79,97,Siang,Dingin,Sedang,Sedang,Tinggi
83,2011-01-04,Spring,0,Jan,14,0,Tue,1,Clear,10.66,12.879999999999999,52.0,15.001299999999999,9,54,63,Siang,Sedang,Sedang,Kencang,Tinggi
84,2011-01-04,Spring,0,Jan,15,0,Tue,1,Clear,11.48,13.635,52.0,16.997899999999998,17,48,65,Siang,Sedang,Sedang,Kencang,Tinggi
85,2011-01-04,Spring,0,Jan,16,0,Tue,1,Clear,12.299999999999999,14.395,49.0,16.997899999999998,15,68,83,Siang,Sedang,Rendah,Kencang,Tinggi
86,2011-01-04,Spring,0,Jan,17,0,Tue,1,Clear,11.48,13.635,48.0,15.001299999999999,10,202,212,Siang,Sedang,Rendah,Kencang,Tinggi
87,2011-01-04,Spring,0,Jan,18,0,Tue,1,Clear,10.66,12.879999999999999,48.0,12.998000000000001,3,179,182,Sore/Malam,Sedang,Rendah,Sedang,Tinggi
88,2011-01-04,Spring,0,Jan,19,0,Tue,1,Clear,9.84,12.879999999999999,48.0,7.0015,2,110,112,Sore/Malam,Dingin,Rendah,Sedang,Tinggi
89,2011-01-04,Spring,0,Jan,20,0,Tue,1,Clear,9.84,12.879999999999999,48.0,7.0015,1,53,54,Sore/Malam,Dingin,Rendah,Sedang,Tinggi
90,2011-01-04,Spring,0,Jan,21,0,Tue,1,Clear,9.02,13.635,64.0,0.0,0,48,48,Sore/Malam,Dingin,Sedang,Tenang,Tinggi
91,2011-01-04,Spring,0,Jan,22,0,Tue,1,Clear,9.02,12.879999999999999,64.0,6.0032,1,34,35,Sore/Malam,Dingin,Sedang,Sedang,Tinggi
92,2011-01-04,Spring,0,Jan,23,0,Tue,1,Clear,8.200000000000001,11.365,69.0,6.0032,2,9,11,Sore/Malam,Dingin,Sedang,Sedang,Sedang
93,2011-01-05,Spring,0,Jan,0,0,Wed,1,Clear,8.200000000000001,12.879999999999999,64.0,0.0,0,6,6,Malam,Dingin,Sedang,Tenang,Rendah
94,2011-01-05,Spring,0,Jan,1,0,Wed,1,Clear,6.5600000000000005,9.85,74.0,6.0032,0,6,6,Malam,Dingin,Sedang,Sedang,Rendah
95,2011-01-05,Spring,0,Jan,2,0,Wed,1,Clear,6.5600000000000005,9.85,74.0,6.0032,0,2,2,Malam,Dingin,Sedang,Sedang,Rendah
96,2011-01-05,Spring,0,Jan,4,0,Wed,1,Clear,9.84,11.365,48.0,15.001299999999999,0,2,2,Malam,Dingin,Rendah,Kencang,Rendah
97,2011-01-05,Spring,0,Jan,5,0,Wed,1,Clear,9.02,11.365,47.0,11.0014,0,3,3,Malam,Dingin,Rendah,Sedang,Rendah
98,2011-01-05,Spring,0,Jan,6,0,Wed,1,Clear,8.200000000000001,9.85,47.0,15.001299999999999,0,33,33,Pagi,Dingin,Rendah,Kencang,Tinggi
99,2011-01-05,Spring,0,Jan,7,0,Wed,1,Clear,7.38,9.09,43.0,12.998000000000001,1,87,88,Pagi,Dingin,Rendah,Sedang,Tinggi
100,2011-01-05,Spring,0,Jan,8,0,Wed,1,Clear,8.200000000000001,9.09,40.0,19.999499999999998,3,192,195,Pagi,Dingin,Rendah,Kencang,Tinggi
101,2011-01-05,Spring,0,Jan,9,0,Wed,1,Clear,9.02,9.85,37.0,22.0028,6,109,115,Pagi,Dingin,Rendah,Kencang,Tinggi
102,2011-01-05,Spring,0,Jan,10,0,Wed,1,Clear,9.02,9.85,37.0,22.0028,4,53,57,Pagi,Dingin,Rendah,Kencang,Tinggi
103,2011-01-05,Spring,0,Jan,11,0,Wed,1,Clear,10.66,11.365,33.0,22.0028,12,34,46,Pagi,Sedang,Rendah,Kencang,Tinggi
104,2011-01-05,Spring,0,Jan,12,0,Wed,1,Clear,10.66,11.365,33.0,22.0028,5,74,79,Siang,Sedang,Rendah,Kencang,Tinggi
105,2011-01-05,Spring,0,Jan,13,0,Wed,1,Clear,11.48,12.879999999999999,30.0,19.999499999999998,6,65,71,Siang,Sedang,Rendah,Kencang,Tinggi
106,2011-01-05,Spring,0,Jan,14,0,Wed,1,Clear,12.299999999999999,14.395,28.000000000000004,12.998000000000001,10,52,62,Siang,Sedang,Rendah,Sedang,Tinggi
107,2011-01-05,Spring,0,Jan,15,0,Wed,1,Clear,12.299999999999999,14.395,28.000000000000004,12.998000000000001,7,55,62,Siang,Sedang,Rendah,Sedang,Tinggi
108,2011-01-05,Spring,0,Jan,16,0,Wed,1,Clear,12.299999999999999,15.909999999999998,28.000000000000004,6.0032,4,85,89,Siang,Sedang,Rendah,Sedang,Tinggi
109,2011-01-05,Spring,0,Jan,17,0,Wed,1,Clear,9.84,11.365,38.0,12.998000000000001,4,186,190,Siang,Dingin,Rendah,Sedang,Tinggi
110,2011-01-05,Spring,0,Jan,18,0,Wed,1,Clear,9.84,12.120000000000001,38.0,8.9981,3,166,169,Sore/Malam,Dingin,Rendah,Sedang,Tinggi
111,2011-01-05,Spring,0,Jan,19,0,Wed,1,Clear,9.84,12.879999999999999,38.0,7.0015,5,127,132,Sore/Malam,Dingin,Rendah,Sedang,Tinggi
112,2011-01-05,Spring,0,Jan,20,0,Wed,1,Clear,9.02,11.365,47.0,11.0014,7,82,89,Sore/Malam,Dingin,Rendah,Sedang,Tinggi
113,2011-01-05,Spring,0,Jan,21,0,Wed,1,Clear,8.200000000000001,9.85,51.0,12.998000000000001,3,40,43,Sore/Malam,Dingin,Sedang,Sedang,Tinggi
114,2011-01-05,Spring,0,Jan,22,0,Wed,1,Clear,7.38,9.85,55.00000000000001,8.9981,1,41,42,Sore/Malam,Dingin,Sedang,Sedang,Tinggi
115,2011-01-05,Spring,0,Jan,23,0,Wed,1,Clear,8.200000000000001,12.879999999999999,47.0,0.0,1,18,19,Sore/Malam,Dingin,Rendah,Tenang,Sedang
116,2011-01-06,Spring,0,Jan,0,0,Thu,1,Clear,7.38,12.120000000000001,55.00000000000001,0.0,0,11,11,Malam,Dingin,Sedang,Tenang,Sedang
117,2011-01-06,Spring,0,Jan,1,0,Thu,1,Clear,6.5600000000000005,11.365,64.0,0.0,0,4,4,Malam,Dingin,Sedang,Tenang,Rendah
118,2011-01-06,Spring,0,Jan,2,0,Thu,1,Clear,6.5600000000000005,11.365,64.0,0.0,0,2,2,Malam,Dingin,Sedang,Tenang,Rendah
119,2011-01-06,Spring,0,Jan,4,0,Thu,1,Mist,6.5600000000000005,9.85,64.0,6.0032,0,1,1,Malam,Dingin,Sedang,Sedang,Rendah
120,2011-01-06,Spring,0,Jan,5,0,Thu,1,Mist,5.74,9.09,69.0,6.0032,0,4,4,Malam,Dingin,Sedang,Sedang,Rendah
121,2011-01-06,Spring,0,Jan,6,0,Thu,1,Mist,5.74,8.334999999999999,63.0,7.0015,0,36,36,Pagi,Dingin,Sedang,Sedang,Tinggi
122,2011-01-06,Spring,0,Jan,7,0,Thu,1,Mist,6.5600000000000005,11.365,59.0,0.0,0,95,95,Pagi,Dingin,Sedang,Tenang,Tinggi
123,2011-01-06,Spring,0,Jan,8,0,Thu,1,Clear,6.5600000000000005,11.365,59.0,0.0,3,216,219,Pagi,Dingin,Sedang,Tenang,Tinggi
124,2011-01-06,Spring,0,Jan,9,0,Thu,1,Mist,7.38,12.120000000000001,51.0,0.0,6,116,122,Pagi,Dingin,Sedang,Tenang,Tinggi
125,2011-01-06,Spring,0,Jan,10,0,Thu,1,Clear,8.200000000000001,12.879999999999999,47.0,0.0,3,42,45,Pagi,Dingin,Rendah,Tenang,Tinggi
126,2011-01-06,Spring,0,Jan,11,0,Thu,1,Clear,9.02,12.879999999999999,44.0,6.0032,2,57,59,Pagi,Dingin,Rendah,Sedang,Tinggi
127,2011-01-06,Spring,0,Jan,12,0,Thu,1,Clear,10.66,14.395,35.0,0.0,6,78,84,Siang,Sedang,Rendah,Tenang,Tinggi
128,2011-01-06,Spring,0,Jan,13,0,Thu,1,Clear,10.66,13.635,35.0,7.0015,12,55,67,Siang,Sedang,Rendah,Sedang,Tinggi
129,2011-01-06,Spring,0,Jan,14,0,Thu,1,Clear,11.48,13.635,36.0,11.0014,11,59,70,Siang,Sedang,Rendah,Sedang,Tinggi
130,2011-01-06,Spring,0,Jan,15,0,Thu,1,Clear,11.48,13.635,36.0,0.0,8,54,62,Siang,Sedang,Rendah,Tenang,Tinggi
131,2011-01-06,Spring,0,Jan,16,0,Thu,1,Clear,10.66,12.879999999999999,38.0,11.0014,12,74,86,Siang,Sedang,Rendah,Sedang,Tinggi
132,2011-01-06,Spring,0,Jan,17,0,Thu,1,Clear,9.02,11.365,51.0,11.0014,9,163,172,Siang,Dingin,Sedang,Sedang,Tinggi
133,2011-01-06,Spring,0,Jan,18,0,Thu,1,Clear,9.02,11.365,51.0,8.9981,5,158,163,Sore/Malam,Dingin,Sedang,Sedang,Tinggi
134,2011-01-06,Spring,0,Jan,19,0,Thu,1,Clear,9.02,12.879999999999999,55.00000000000001,6.0032,3,109,112,Sore/Malam,Dingin,Sedang,Sedang,Tinggi
135,2011-01-06,Spring,0,Jan,20,0,Thu,1,Clear,8.200000000000001,10.605,51.0,11.0014,3,66,69,Sore/Malam,Dingin,Sedang,Sedang,Tinggi
136,2011-01-06,Spring,0,Jan,21,0,Thu,1,Mist,9.02,10.605,55.00000000000001,15.001299999999999,0,48,48,Sore/Malam,Dingin,Sedang,Kencang,Tinggi
137,2011-01-06,Spring,0,Jan,22,0,Thu,1,Mist,9.02,10.605,51.0,19.0012,1,51,52,Sore/Malam,Dingin,Sedang,Kencang,Tinggi
138,2011-01-06,Spring,0,Jan,23,0,Thu,1,Mist,8.200000000000001,9.85,59.0,12.998000000000001,4,19,23,Sore/Malam,Dingin,Sedang,Sedang,Sedang
139,2011-01-07,Spring,0,Jan,0,0,Fri,1,Mist,8.200000000000001,9.85,64.0,12.998000000000001,4,13,17,Malam,Dingin,Sedang,Sedang,Sedang
140,2011-01-07,Spring,0,Jan,1,0,Fri,1,Mist,8.200000000000001,9.85,69.0,15.001299999999999,2,5,7,Malam,Dingin,Sedang,Kencang,Rendah
141,2011-01-07,Spring,0,Jan,2,0,Fri,1,Mist,8.200000000000001,9.85,69.0,15.001299999999999,0,1,1,Malam,Dingin,Sedang,Kencang,Rendah
142,2011-01-07,Spring,0,Jan,4,0,Fri,1,Mist,8.200000000000001,10.605,69.0,8.9981,0,1,1,Malam,Dingin,Sedang,Sedang,Rendah
143,2011-01-07,Spring,0,Jan,5,0,Fri,1,Light Rain/Snow,9.02,13.635,55.00000000000001,0.0,0,5,5,Malam,Dingin,Sedang,Tenang,Rendah
144,2011-01-07,Spring,0,Jan,6,0,Fri,1,Mist,8.200000000000001,12.879999999999999,69.0,0.0,8,26,34,Pagi,Dingin,Sedang,Tenang,Tinggi
145,2011-01-07,Spring,0,Jan,7,0,Fri,1,Clear,8.200000000000001,10.605,69.0,8.9981,8,76,84,Pagi,Dingin,Sedang,Sedang,Tinggi
146,2011-01-07,Spring,0,Jan,8,0,Fri,1,Clear,8.200000000000001,9.85,51.0,16.997899999999998,20,190,210,Pagi,Dingin,Sedang,Kencang,Tinggi
147,2011-01-07,Spring,0,Jan,9,0,Fri,1,Clear,8.200000000000001,9.09,47.0,19.999499999999998,9,125,134,Pagi,Dingin,Rendah,Kencang,Tinggi
148,2011-01-07,Spring,0,Jan,10,0,Fri,1,Clear,9.02,9.85,37.0,22.0028,16,47,63,Pagi,Dingin,Rendah,Kencang,Tinggi
149,2011-01-07,Spring,0,Jan,11,0,Fri,1,Mist,8.200000000000001,9.85,40.0,15.001299999999999,19,48,67,Pagi,Dingin,Rendah,Kencang,Tinggi
150,2011-01-07,Spring,0,Jan,12,0,Fri,1,Mist,8.200000000000001,9.85,37.0,16.997899999999998,9,50,59,Siang,Dingin,Rendah,Kencang,Tinggi
151,2011-01-07,Spring,0,Jan,13,0,Fri,1,Mist,8.200000000000001,9.09,37.0,19.0012,9,64,73,Siang,Dingin,Rendah,Kencang,Tinggi
152,2011-01-07,Spring,0,Jan,14,0,Fri,1,Mist,8.200000000000001,9.85,40.0,16.997899999999998,7,43,50,Siang,Dingin,Rendah,Kencang,Tinggi
153,2011-01-07,Spring,0,Jan,15,0,Fri,1,Mist,8.200000000000001,10.605,37.0,11.0014,9,63,72,Siang,Dingin,Rendah,Sedang,Tinggi
154,2011-01-07,Spring,0,Jan,16,0,Fri,1,Mist,8.200000000000001,10.605,37.0,11.0014,5,82,87,Siang,Dingin,Rendah,Sedang,Tinggi
155,2011-01-07,Spring,0,Jan,17,0,Fri,1,Mist,8.200000000000001,12.879999999999999,37.0,0.0,9,178,187,Siang,Dingin,Rendah,Tenang,Tinggi
156,2011-01-07,Spring,0,Jan,18,0,Fri,1,Clear,8.200000000000001,11.365,40.0,6.0032,7,116,123,Sore/Malam,Dingin,Rendah,Sedang,Tinggi
157,2011-01-07,Spring,0,Jan,19,0,Fri,1,Clear,6.5600000000000005,9.85,55.00000000000001,6.0032,3,92,95,Sore/Malam,Dingin,Sedang,Sedang,Tinggi
158,2011-01-07,Spring,0,Jan,20,0,Fri,1,Clear,7.38,10.605,47.0,7.0015,1,50,51,Sore/Malam,Dingin,Rendah,Sedang,Tinggi
159,2011-01-07,Spring,0,Jan,21,0,Fri,1,Clear,7.38,9.85,47.0,8.9981,0,39,39,Sore/Malam,Dingin,Rendah,Sedang,Tinggi
